ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return,cumulative_return,ma5,ma20,month,signal,position,strategy_return,strategy_cumulative_return
002594.SZ,2026-01-07,99.96,99.96,97.06,97.6,99.99,-2.39,-2.3902,560848.81,5502570.731,-0.023902390239023963,-0.7329685362517097,98.63399999999999,96.5155,2026-01,0,1.0,-0.023902390239023963,-0.7182338545872948
002594.SZ,2026-01-08,97.2,97.2,96.33,96.88,97.6,-0.72,-0.7377,300654.75,2908439.429,-0.007377049180327888,-0.7349384404924757,98.05999999999999,96.55799999999999,2026-01,0,1.0,-0.007377049180327888,-0.7203124572993558
002594.SZ,2026-01-09,97.05,97.95,96.9,97.01,96.88,0.13,0.1342,350340.58,3412630.185,0.001341866226259425,-0.734582763337893,97.91799999999999,96.58500000000001,2026-01,0,1.0,0.001341866226259425,-0.7199371540319003
002594.SZ,2026-01-12,97.01,98.0,96.3,97.47,97.01,0.46,0.4742,425257.19,4125432.529,0.004741779198020657,-0.7333242134062925,97.78999999999999,96.64699999999999,2026-01,0,1.0,0.004741779198020657,-0.7186091578547502
002594.SZ,2026-01-13,99.0,99.6,96.88,97.19,97.47,-0.28,-0.2873,498722.72,4905229.942,-0.002872678772955828,-0.7340902872777015,97.23,96.6565,2026-01,0,1.0,-0.002872678772955828,-0.7194175033538851
002594.SZ,2026-01-14,96.81,97.74,95.51,96.1,97.19,-1.09,-1.1215,514749.73,4975154.616,-0.011215145591110254,-0.7370725034199723,96.92999999999999,96.685,2026-01,0,1.0,-0.011215145591110254,-0.7225642769040885
002594.SZ,2026-01-15,96.08,96.64,95.6,95.67,96.1,-0.43,-0.4475,295635.46,2835803.09,-0.004474505723204958,-0.7382489740082077,96.688,96.756,2026-01,-1,0.0,-0.004474505723204958,-0.7238056646349027
002594.SZ,2026-01-16,96.7,97.44,95.6,95.86,95.67,0.19,0.1986,384588.02,3705328.916,0.0019859935193895506,-0.7377291381668944,96.458,96.7885,2026-01,0,0.0,0.0,-0.7238056646349027
002594.SZ,2026-01-19,96.81,97.3,95.77,96.19,95.86,0.33,0.3443,334927.15,3227653.862,0.0034425203421657447,-0.7368262653898766,96.202,96.9215,2026-01,0,0.0,0.0,-0.7238056646349027
002594.SZ,2026-01-20,96.22,96.26,94.68,94.74,96.19,-1.45,-1.5074,389149.47,3699337.566,-0.015074332051148831,-0.7407934336525306,95.71199999999999,96.94699999999999,2026-01,0,0.0,-0.0,-0.7238056646349027
002594.SZ,2026-01-21,94.01,94.94,94.0,94.1,94.74,-0.64,-0.6755,308333.93,2910327.666,-0.006755330377876345,-0.7425444596443226,95.312,96.93350000000001,2026-01,0,0.0,-0.0,-0.7238056646349027
002594.SZ,2026-01-22,94.72,95.13,93.89,94.12,94.1,0.02,0.0213,291014.25,2741536.605,0.00021253985122227093,-0.742489740082079,95.002,96.899,2026-01,0,0.0,0.0,-0.7238056646349027
002594.SZ,2026-01-23,94.24,94.36,93.51,93.65,94.12,-0.47,-0.4994,383302.72,3598066.421,-0.004993625159370962,-0.7437756497948014,94.55999999999999,96.8605,2026-01,0,0.0,-0.0,-0.7238056646349027
002594.SZ,2026-01-26,93.65,93.66,92.5,92.63,93.65,-1.02,-1.0892,375459.61,3485372.554,-0.01089161772557401,-0.7465663474692199,93.848,96.74999999999999,2026-01,0,0.0,-0.0,-0.7238056646349027
002594.SZ,2026-01-27,92.67,92.99,91.8,91.81,92.63,-0.82,-0.8852,362980.92,3340756.01,-0.008852423620857142,-0.7488098495212036,93.26199999999999,96.34,2026-01,0,0.0,-0.0,-0.7238056646349027
002594.SZ,2026-01-28,91.8,93.5,90.01,93.34,91.81,1.53,1.6665,715566.18,6553150.013,0.016664851323385355,-0.7446238030095755,93.11,95.9965,2026-01,0,0.0,0.0,-0.7238056646349027
